REG_ANS;VL_SALDO_FINAL;ano;trimestre
316458;115187701.13;2025;2
316849;28876454.09;2025;2
316873;567398963.46;2025;2
316881;647977656.85;2025;2
316903;2801780.57;2025;2
316997;28126821.02;2025;2
317012;250761480.38;2025;2
317144;10700731404.76;2025;2
317233;1300765720.34;2025;2
317632;1295315121.88;2025;2
317896;200619756.08;2025;2
318035;255924327.18;2025;2
318213;244447046.67;2025;2
318299;1127220083.91;2025;2
318388;468605250.62;2025;2
318477;389582014.87;2025;2
318566;620732658.88;2025;2
319121;2725312182.5;2025;2
319180;235666940.17;2025;2
319384;757986531.94;2025;2
319422;322374513.32;2025;2
319708;1189487943.36;2025;2
319872;25414935.99;2025;2
319996;5678946957.24;2025;2
320251;909464317.4;2025;2
320510;147744495.37;2025;2
320706;1686179382.64;2025;2
320820;212214455.59;2025;2
320838;53562104.97;2025;2
320862;455473443.03;2025;2
320897;346508739.14;2025;2
321044;4048658401.26;2025;2
321087;229178288.97;2025;2
321125;82406076.58;2025;2
321273;2476073090.19;2025;2
321320;123754537.7;2025;2
321338;82095208.12;2025;2
321931;179910284.23;2025;2
321958;1264962866.73;2025;2
322326;50627399.17;2025;2
322571;561282289.68;2025;2
322831;360399790.08;2025;2
322890;30875511.61;2025;2
323004;79234450.5;2025;2
323055;250979043.77;2025;2
323080;22378580460.16;2025;2
323268;1530207989.03;2025;2
323357;345510876.09;2025;2
323926;403952256.74;2025;2
323942;166932999.96;2025;2
323993;864776365.0;2025;2
324159;293781856.77;2025;2
324175;129180292.29;2025;2
324213;103115075.27;2025;2
324299;136612839.07;2025;2
324345;598425605.72;2025;2
324361;1099125427.62;2025;2
324477;1322993708.54;2025;2
324493;841947154.2;2025;2
324523;152922.48;2025;2
324566;408358202.61;2025;2
325031;350618562.04;2025;2
325082;79706275.33;2025;2
325236;386824366.3;2025;2
325465;147823198.15;2025;2
325571;4120299238.91;2025;2
326305;98893714005.06;2025;2
326500;1503811498.01;2025;2
326755;886050448.07;2025;2
326861;1191248226.82;2025;2
327328;4726627.39;2025;2
327352;181509559.02;2025;2
327417;999785545.03;2025;2
327468;109359622.86;2025;2
327557;447030770.68;2025;2
327638;72661424.25;2025;2
327689;4116923998.37;2025;2
328031;-14862552.45;2025;2
328294;509924607.13;2025;2
328308;173148010.05;2025;2
328375;118091765.54;2025;2
328537;706521149.64;2025;2
329339;1327082540.21;2025;2
329355;197625344.95;2025;2
329665;125848536.77;2025;2
329886;410330145.7;2025;2
330108;505344652.95;2025;2
330116;185109029.86;2025;2
330264;495259216.7;2025;2
330281;189375224.84;2025;2
330566;459703568.48;2025;2
330809;392843559.69;2025;2
330892;103763010.03;2025;2
331104;13271872.57;2025;2
331317;1378138609.59;2025;2
331341;898947856.26;2025;2
331651;390881447.4;2025;2
331872;2691497347.17;2025;2
331988;2167263916.18;2025;2
333051;1086139022.4;2025;2
333239;5182904.38;2025;2
333662;835322857.04;2025;2
333689;1471998633.36;2025;2
333808;213554288.27;2025;2
333867;67229806.11;2025;2
333875;197213056.97;2025;2
334154;387375881.16;2025;2
334243;29770708.12;2025;2
334511;14992513.49;2025;2
334561;2989986397.31;2025;2
334847;89934141.54;2025;2
335100;5530522707.1;2025;2
335215;629344637.47;2025;2
335258;96697144.49;2025;2
335479;1692496108.58;2025;2
335517;386991396.1;2025;2
335541;302435241.46;2025;2
335592;4837600090.98;2025;2
335614;7008883879.13;2025;2
335657;111946443.69;2025;2
335690;12819246488.39;2025;2
335754;415539097.25;2025;2
335789;117946816.13;2025;2
336017;18626281.37;2025;2
336106;1559651093.75;2025;2
336467;77038361.05;2025;2
336831;535793987.37;2025;2
